カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
Api,2024-11-27,2024-12-09,EX002611-01,バッテリコネクタキャップ,,50,外観全数,15,西村,外観,穴が開いてないのが3つあり、処置後入荷、再発防止依頼要
Api,2025-04-28,2025-05-07,EX002611-01,バッテリコネクタキャップ,,200,全数,5,西村,外観,
