カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
メカ,2024-10-04,2024-10-04,EX000937-03,撹拌棒/mixing arm,金森産業（株）,390,全数,15,西村,外観,良
メカ,2024-10-29,2024-10-29,EX000937-03,撹拌棒/mixing arm,,300,外観全数,40,西村,外観,良
メカ,2025-03-13,2025-03-13,EX000937-03,撹拌棒/mixing arm,金森産業（株）,70,外観全数,10,西村,外観,
メカ,2025-03-13,2025-03-13,EX000937-03,撹拌棒/mixing arm,金森産業（株）,230,外観全数,20,西村,外観,
メカ,2025-08-13,2025-08-26,EX000937-03,撹拌棒/mixing arm,金森産業（株）,200,外観全数,20,西村,外観　寸法,
