カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
Api,2025-06-16,2025-06-17,EX000782,float cencer,,100,全数,15,西村,外観,外観と付属品過不足
Api,2025-09-03,2025-09-16,EX000782,float cencer,,100,外観全数,20,岩熊,外観,
Api,2026-11-25,2026-12-04,EX000782,float cencer,,300,,60,杉山,外観,
Api,2026-01-07,2026-01-27,EX000782,float cencer,,50,外観全数,30,杉山,外観員数,
