カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
メカ,2025-11-28,2025-12-02,EXA000027-11,Leg Assy,ANHUI ARTS&CRAFTS IMP&EXP CO.LTD,130,全数,60,杉山,外観,
メカ,2026-01-05,2026-01-05,EXA000027-11,Leg Assy,ANHUI ARTS&CRAFTS IMP&EXP CO.LTD,130,"外観全数,抜取り２０",60,杉山,外観寸法,
メカ,2026-01-05,2026-01-13,EXA000027-11,Leg Assy,ANHUI ARTS&CRAFTS IMP&EXP CO.LTD,640,"外観全数,抜取り２０",150,杉山,外観寸法,
