カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
メカ,2024-09-19,2024-09-24,EX000747,Slide Rail,金森産業（株）,100,全数,20,西村,外観,良
メカ,2024-10-08,2024-10-11,EX000747,Slide Rail,金森産業（株）,100,外観全数,60,角田,外観,良１点保留（レール面キズ、バリ処理のえぐれ）
メカ,2025-02-26,2025-03-03,EX000747,Slide Rail,金森産業（株）,300,外観全数,50,西村,外観,2点レール端面にキズあり、製造中による？
メカ,2025-08-13,2025-08-26,EX000747,Slide Rail,金森産業（株）,400,外観全数,40,西村,外観　寸法,
メカ,2025-08-26,2025-09-05,EX000747,Slide Rail,金森産業（株）,160,外観全数,45,西村,外観,エッジ部にヤスリ跡、準体裁面として不問
メカ,2025-09-03,2025-09-18,EX000747,Slide Rail,金森産業（株）,160,外観全数,,,外観,
メカ,2026-01-14,2026-01-26,EX000747,Slide Rail,金森産業株式会社,400,全数,190,杉山,外観、員数,
