カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
エレキ,2024-10-24,2024-10-28,EX002521-01,Harness(FC-SIG HUB),ユニット産業（株）,120,なみ検査　20個のみ,30,西村,外観・寸法,ユニット産業はn1で判断、他は外観
エレキ,2025-09-17,,EX002521-01,Harness(FC-SIG HUB),ユニット産業（株）,200,外観全数,30,西村,配線長外観,
エレキ,2025-09-19,2025-09-22,EX002521-01,Harness(FC-SIG HUB),ユニット産業（株）,200,外観全数,30,西村,配線長外観,
エレキ,2025-10-14,2025-10-16,EX002521-01,Harness(FC-SIG HUB),ユニット産業,100,外観全数,20,西村,配線長外観,
エレキ,2026-02-27,2026-02-27,EX002521-01,Harness(FC-SIG HUB),ユニット産業（株）,330,外観全数,30,西村,配線長外観,
