カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
エレキ,2024-12-04,2024-12-09,EXA000020-22,MC Assy,十和田オーディオ,20,N-5,25,西村,外観・動作,
エレキ,2025-01-24,2025-01-28,EXA000020-22,MC Assy,十和田オーディオ,50,外観全数,50,西村,外観のみ,ケースと端子ハウジングの合いノ状態
エレキ,2025-01-30,2025-01-31,EXA000020-22,MC Assy,十和田オーディオ,50,外観全数,15,西村,外観,マイクロSDが収まっているか
エレキ,2025-02-18,2025-02-20,EXA000020-22,MC Assy,十和田オーディオ,100,外観全数,35,西村,外観,SDカードとアンテナが取り付けられているか
エレキ,2025-02-25,2025-02-26,EXA000020-22,MC Assy,十和田オーディオ,83,外観全数,30,西村,外観,良
エレキ,2025-07-09,,EXA000020-22,MC Assy,十和田オーディオ,136,,,,,
