カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
エレキ,2025-01-10,2025-01-14,EXA000071-01,PDB基板Assy,キョウデンプレシジョン,100,n-5外観,15,西村,外観,N-1通電（エレキ担当）外観、梱包状態はn-5
エレキ,2025-01-17,2025-01-20,EXA000071-01,PDB基板Assy,キョウデンプレシジョン,100,n-5外観,15,西村,外観,N-1通電（エレキ担当）外観、梱包状態はn-5
エレキ,2025-05-09,2025-05-16,EXA000071-01,PDB基板Assy,キョウデンプレシジョン,100,外観全数,45,西村,外観と抜き取りでハンダの状態,実装面の端子台のハンダ量は適正？
エレキ,2025-08-08,2025-08-26,EXA000071-01,PDB基板Assy,キョウデンプレシジョン,100,,,西村,外観・抜き取りはハンダ確認,
エレキ,2026-01-14,2026-01-15,EXA000071-01,PDB基板Assy,明光電子株式会社,216,外観全数,30,杉山,外観、員数,
