カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
メカ,2025-11-28,2025-12-04,EX002550-03,Upper Plate(Ver2023),ANHUI ARTS&CRAFTS IMP&EXP CO.LTD,60,全数,60,杉山,外観,
メカ,2025-12-15,2025-12-17,EX002550-03,Upper Plate(Ver2023),ANHUI ARTS&CRAFTS IMP&EXP CO.LTD,30,全数,30,杉山,外観,
メカ,2026-01-05,2026-01-05,EX002550-03,Upper Plate(Ver2023),ANHUI ARTS&CRAFTS IMP&EXP CO.LTD,90,全数,60,杉山,外観,
メカ,2026-01-05,2026-01-27,EX002550-03,Upper Plate(Ver2023),ANHUI ARTS&CRAFTS IMP&EXP CO.LTD,74,全数,60,杉山,外観,
