カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
Api,2024-11-08,2024-11-15,EXA000008-11,Battery lock handle Assy,,30,全数,25,西村,外観・動作,良　
Api,2024-11-27,2024-12-02,EXA000008-11,Battery lock handle Assy,,120,全数,30,西村,外観・寸法,カーボンにキズ、剥離あり、要協議
Api,2025-01-20,2025-01-28,EXA000008-11,Battery lock handle Assy,,132,全数,↑,角田,外観,↓
Api,2025-07-21,2025-07-29,EXA000008-31,Battery lock handle Assy,,50,外観全数,40,西村,外観,穴寸法はピンゲージで代用
Api,2025-09-29,2025-09-29,EXA000008-11,Battery lock handle Assy,,16,外観全数,25,西村,外観寸法,穴はピンゲージで代用
Api,2025-10-22,2025-10-27,EXA000008-11,Battery lock handle Assy,,134,外観全数,70,西村,外観,
