カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
Api,2025-06-16,2025-06-17,EX000750-11,Slide Mount,,200,全数,80,西村,外観寸法,ネジ穴加工と深さ注意アルマイト
Api,2025-12-15,2025-12-18,EX000750-11,Slide Mount,,350,外観全数　寸法抜き取り20個,90,杉山,外観員数寸法,
Api,2025-12-15,2026-01-29,EX000750-11,Slide Mount,,200,外観全数　寸法抜き取り50個,120,杉山,外観員数寸法,1/28より検査方式変更
Api,2026-01-07,2026-01-27,EX000750-11,Slide Mount,,150,外観全数　寸法抜き取り20個,70,杉山,外観員数寸法,
Api,2026-02-09,2026-02-16,EX000750-11,Slide Mount,,500,外観全数　寸法抜き取り80個,400,杉山,外観員数寸法,10本づつ分け袋詰め作業含む
