カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
Api,2024-11-27,2024-12-04,EX002616-02,Battery connector holder,,420,全数。抜き取りは５,70,西村,外観・寸法,
Api,2025-09-22,2025-09-25,EX002616-02,Battery connector holder,,300,外観全数,65,西村,外観,
Api,2026-12-12,2026-12-25,EX002616-02,Battery connector holder,,200,外観全数　寸法抜き取り20個,60,杉山,外観員数寸法,
Api,2025-12-15,2025-12-18,EX002616-02,Battery connector holder,,200,外観全数　寸法抜き取り20個,30,杉山,外観員数寸法,
Api,2026-02-09,2026-02-10,EX002616-02,Battery connector holder,,300,外観全数　寸法抜き取り20個,120,杉山,外観員数寸法,10本づつ分け袋詰め作業含む
