カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
エレキ,2024-11-05,2024-11-06,EXA000070-01,粒剤制御板Assy,キョウデンプレシジョン,100,抜き取り５,25,西村,外観のみ,n-1を若原さんに確認
エレキ,2024-12-09,2024-12-12,EXA000070-01,粒剤制御板Assy,キョウデンプレシジョン,100,N-1,50,西村,外観のみ,n-1を若原さんにかくにんとして良品としました
エレキ,2025-01-20,2025-01-24,EXA000070-01,粒剤制御板Assy,キョウデンプレシジョン,100,外観全数,35,西村,外観,こちらはAssy化した上で代理店に発送
エレキ,2025-01-27,2025-01-28,EXA000070-01,粒剤制御板Assy,キョウデンプレシジョン,200,外観全数,80,西村,外観のみ,ハンダ状態、カバーのキズ（少しあり不問）
エレキ,2025-05-09,2025-05-19,EXA000070-01,粒剤制御板Assy,キョウデンプレシジョン,72,外観全数,140,西村,外観FWを6.1に。,FW6.1に
エレキ,2025-05-13,2025-05-20,EXA000070-01,粒剤制御板Assy,キョウデンプレシジョン,100,外観全数,180,西村,外観FWを6.1に。,FW6.1に
エレキ,2025-08-29,2025-09-05,EXA000070-01,粒剤制御板Assy,キョウデンプレシジョン,100,外観全数,30,西村,外観確認,金森製カバー天面にキズ（部材の時は無かった）部材、サブAssy、Assyと3回の検査、もある。
