カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
エレキ,2024-11-26,2024-11-29,EX000929-13,ギアBOX planetary box 3-3,ヨシカワ,78,N-1,15,西村・吉田,外観・動作,1分作動後電圧、回転数、異音検査基準書無し
エレキ,2024-12-19,2024-12-24,EX000929-13,ギアBOX planetary box 3-3,(有)ヨシカワ,78,2個/1箱,120,西村,外観・動作,1分作動後電圧、回転数、異音検査基準書無し
エレキ,2025-01-30,2025-02-03,EX000929-13,ギアBOX planetary box 3-3,ヨシカワ,74,外観全数通電１３,80,西村,外観通電,外観取り付け穴の不具合有無。通電は回転数と電流値
エレキ,2025-05-20,2025-05-20,EX000929-13,ギアBOX planetary box 3-3,(有)ヨシカワ,24,n-8,30,西村　西浦,外観・動作,モーターを回して少し経つと必ず電流値が下がる
エレキ,2025-07-25,2025-08-07,EX000929-13,ギアBOX planetary box 3-3,ヨシカワ,40,外観全数,60,西村,外観全数・抜き取り7個,1分空運転、電流値計測、回転数計測
エレキ,2025-09-29,2025-09-30,EX000929-13,ギアBOX planetary box 3-3,ヨシカワ,36,外観全数,40,西村,無負荷運転回転数,
エレキ,2025-11-27,2025-11-27,EX000929-13,ギアBOX planetary box 3-3,ヨシカワ,48,外観のみ,10,西村、長野佳,外観のみ,今回より、検査表は必ず作業報告書に添付する事の上、員数確認と梱包状態の確認のみとします。
