カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
Api,2025-06-16,2025-06-16,EX000796-11,Center beam,,100,全数,40,西村,外観寸法,ネジ穴加工と深さ注意アルマイト
Api,2025-09-29,2025-09-29,EX000796-11,Center beam,,,外観全数,40,西村,外観寸法,M3ネジ穴の記述修正必要
Api,2025-11-25,2025-11-27,EX000796-11,Center beam,,20,外観全数　寸法抜き取り20個,20,西村,外観寸法,
Api,2025-12-15,2025-12-18,EX000796-11,Center beam,,470,外観全数　寸法抜き取り20個,60,杉山,外観員数寸法,
Api,2026-01-07,2026-01-27,EX000796-11,Center beam,,10,全数,30,杉山,外観員数,
Api,2026-02-09,2026-02-10,EX000796-11,Center beam,,200,全数,90,杉山,外観員数,10本づつ分け袋詰め作業含む
