カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
メカ,2024-10-16,2024-10-18,EX000935,カバー_cover_4(2),金森産業（株）,330,外観全数,25,西村,外観,良
メカ,2025-03-06,2025-03-10,EX000935,カバー_cover_4(2),金森産業（株）,70,外観全数,20,西村,外観,インサート有り、注意　体裁面のキズ注意
メカ,2025-03-11,2025-03-13,EX000935,カバー_cover_4(2),金森産業（株）,230,外観全数,70,西村　西浦,外観,インサート有り、注意　体裁面のキズ注意
メカ,2025-10-09,2025-10-16,EX000935,カバー_cover_4(2),金森産業（株）,300,外観全数,45,中井・西村,外観,インサートのサイズ、個数を基準書に入れてほしい
メカ,,2026-02-16,EX000935,カバー_cover_4(2),金森産業（株）,200,外観全数,80,杉山,"外観,員数",
