カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
Api,2024-11-08,,EX000969,Quick connector(MPL8-02),,150,,,,,
Api,2025-09-03,2025-09-16,EX000969,Quick connector(MPL8-02),,200,外観全数,70,岩熊,外観,カエシ無し２、シール塗布不良１
