カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
メカ,2025-04-10,2025-04-17,EX000939,インペラ,金森産業（株）,180,外観全数,↑,西村・西浦,外観,
メカ,2026-01-06,2026-01-09,EX000939,インペラ,金森産業株式会社,350,全数,60,杉山,外観,
