カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
エレキ,2024-12-20,2024-12-23,EXA000069-01,USB-CN基板Assy,キョウデンプレシジョン,100,抜き取り５個,15,西村,外観,
エレキ,2025-01-07,2025-01-07,EXA000069-01,USB-CN基板Assy,キョウデンプレシジョン,100,n-5,10,西村,外観,USB端子の高さは均一。仕様書に無い大事な部分については検査基準として記載すべきか。
