カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
メカ,2025-11-18,2025-11-19,EX000802-11,Heat dissipation sheet,（株）五輪パッキング,1400,,,西村,,メーカーの検査履歴表あり
副資材,2025-02-21,2025-02-21,EX000802-11,Heat dissipation sheet,五輪パッキング,350,全数,5,西村,外観,2シートをカットしてある、台紙の浮きや剥がれ無し。
副資材,2025-08-06,2025-08-06,EX000802-11,Heat dissipation sheet,五輪パッキング,875,全数,,西村,外観,
