カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
Api,2024-11-08,2024-11-14,EX002878-01,Lower Plate（AC102）,Apicestech,30,全数,20,西村,外観,良
Api,2024-11-27,2024-12-03,EX002878-01,Lower Plate（AC102）,,100,全数,100,西村・角田,外観,
Api,2024-12-23,2024-12-24,EX002878-01,Lower Plate（AC102）,,117,外観全数,150,角田,外観,非体裁面の為緩め基準
Api,2025-06-09,2025-06-12,EX002878-01,Lower Plate（AC102）,,25,全数,20,西村,外観,メカトレイ側の面は緩めの検査でOK（体裁面の考え方）
Api,2025-07-15,2025-07-17,EX002878-01,Lower Plate（AC102）,,20,外観全数,30,西村,外観,
Api,2025-09-22,2025-09-26,EX002878-01,Lower Plate（AC102）,,15,外観全数,20,西村,外観,
Api,2025-09-29,2025-10-01,EX002878-01,Lower Plate（AC102）,,25,外観全数,20,西村,外観,
Api,2025-11-25,2025-11-26,EX002878-01,Lower Plate（AC102）,,30,外観全数,30,杉山・西村,外観,
