カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
エレキ,2024-12-04,2024-12-09,EXA000021-22,フライトコントローラー(NTT e-DT製),十和田オーディオ,20,N-5,25,西村,外観・動作,
エレキ,2025-01-27,2025-01-28,EXA000021-22,フライトコントローラー(NTT e-DT製),十和田オーディオ,50,外観全数,15,西村,外観のみ,外観のケースとコネクタのズレが無いかSD入っているか
エレキ,2025-01-30,2025-01-31,EXA000021-22,フライトコントローラー(NTT e-DT製),十和田オーディオ,50,外観全数,20,西村,外観,実装品のコネクタとケースの位置が合っているか、マイクロSDが入っているかを全数確認
エレキ,2025-02-18,2025-02-19,EXA000021-22,フライトコントローラー(NTT e-DT製),十和田オーディオ,100,外観全数,40,西村,外観,実装品のコネクタとケースの位置が合っているか、マイクロSDが入っているかを全数確認
エレキ,2025-02-25,2025-02-26,EXA000021-22,フライトコントローラー(NTT e-DT製),十和田オーディオ,85,外観全数,50,西村,外観,ケースが閉じ切れていないもの3点、鈴鹿さんによって修正
エレキ,2025-07-09,,EXA000021-22,フライトコントローラー(NTT e-DT製),十和田オーディオ,200,,,,,
