カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
メカ,2024-09-20,2024-09-25,EX000812,コンディションLED両面テープ,（株）テクノアソシエ,180,全数,5,西村,外観,良
副資材,2025-03-07,2025-03-07,EX000812-01,コンディションLED両面テープ,（株）テクノアソシエ,200,全数,5,西村,外観,加工品シールなので、検査項目の見直し必要
副資材,,,EX000812-01,コンディションLED両面テープ,（株）テクノアソシエ,200,全数,,西村,外観,検査基準の内容について、テープ向きの内容にしてほしい
